ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"184.191.162.4","anonymous","AS22773","US","Cox Communications Inc.","157","Cox Communications","3128","http","1270","5140","2022-09-29T16:45:34.041Z","100","12","12"
"177.93.77.10","elite","AS263163","BR","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","193","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","4153","socks4","417","1","2022-09-29T16:45:32.505Z","99","106","107"
"170.254.201.17","anonymous","AS265130","BR","ultraconexão soluçoes eireli","197","ultraconexão soluçoes eireli","3180","http","3191","5116","2022-09-29T16:45:32.504Z","100","9","9"
"83.219.133.85","anonymous","AS31214","RU","TIS-DIALOG","44","N/A","8080","http","451","475","2022-09-29T16:45:29.399Z","100","107","107"
"85.25.111.162","elite","AS61157","DE","PlusServer GmbH","34","PlusServer GmbH","5566","http","2588","112","2022-09-29T16:45:29.078Z","100","105","105"
"94.28.14.70","elite","AS24588","RU","Enforta-KUR","66","N/A","4145","socks4","443","137","2022-09-29T16:45:29.408Z","100","107","107"
"54.38.94.26","elite","AS16276","FR","OVH SAS","7","OVH","17809","socks4","2255","1","2022-09-29T16:45:29.076Z","100","85","85"
"211.194.214.128","elite","AS4766","KR","Korea Telecom","225","KORNET","9050","socks4","1910","1","2022-09-29T16:45:29.077Z","100","90","90"
"218.91.50.234","elite","AS4134","CN","Chinanet","242","Chinanet JS","1080","socks5","4461","1","2022-09-29T16:45:26.309Z","92","61","66"
"162.12.217.30","elite","AS394648","FR","Weelax","118","Weelax","3629","socks4","3845","1","2022-09-29T16:45:26.311Z","100","32","32"
"159.65.187.118","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","53783","socks5","2744","1","2022-09-29T16:45:26.858Z","100","8","8"
"182.253.159.115","elite","AS17451","ID","BIZNET","177","N/A","5678","socks4","4257","1","2022-09-29T16:45:24.084Z","100","67","67"
"178.154.228.16","elite","AS200350","RU","Yandex Cloud","47","N/A","9050","socks5","4813","5","2022-09-29T16:45:17.575Z","100","107","107"
"202.43.112.34","elite","AS45325","ID","PC24NET","185","N/A","4145","socks4","5172","1","2022-09-29T16:45:17.574Z","100","97","97"
"41.184.211.21","elite","AS29091","NG","ipNX Nigeria Limited","107","ipNX NIGERIA LIMITED","5678","socks4","4962","1","2022-09-29T16:45:15.911Z","94","76","81"
"84.237.248.137","elite","AS12578","LV","LATTELEKOM","49","N/A","4153","socks4","4489","1","2022-09-29T16:45:14.156Z","100","52","52"
"41.193.226.57","elite","AS11845","ZA","Vox Telecom Ltd","201","Vox Telecom","5678","socks4","5013","1","2022-09-29T16:45:12.178Z","77","72","94"
"177.105.68.163","elite","AS262637","BR","Netprimus Tecnologia Ltda","210","Netprimus Tecnologia Ltda","4153","socks4","5053","1","2022-09-29T16:45:12.177Z","100","86","86"
"177.184.64.2","elite","AS52898","BR","Multipla Serviços Inteligentes","258","Multipla Serviços Inteligentes","4145","socks4","4953","1","2022-09-29T16:45:07.231Z","100","102","102"
"176.56.107.245","elite","AS29119","ES","Aire Networks","1733","Aire Networks Del Mediterraneo SL Unipersonal","32695","socks4","2924","1","2022-09-29T16:45:07.228Z","50","1","2"
"217.60.176.31","elite","AS31549","IR","Aria Shatel Company Ltd","162","SHATEL Network","5678","socks4","4890","1","2022-09-29T16:45:07.230Z","74","59","80"
"51.255.219.244","elite","AS16276","FR","OVH SAS","5","berdin stephane","7497","socks5","4390","1","2022-09-29T16:45:01.955Z","100","65","65"
"135.181.140.215","elite","AS24940","FI","Hetzner Online GmbH","35","Hetzner","43491","socks4","4031","1","2022-09-29T16:45:01.946Z","100","107","107"
"75.119.203.210","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","32524","socks4","5106","1","2022-09-29T16:45:01.940Z","100","84","84"
"139.162.253.106","anonymous","AS63949","GB","Linode, LLC","8","Linode, LLC","3128","http","4783","3093","2022-09-29T16:44:59.323Z","100","84","84"
"156.239.144.6","elite","AS22773","US","Cox Communications Inc.","83","GBTCloud Inc","10001","socks4","5163","1","2022-09-29T16:44:52.934Z","100","69","69"
"104.25.184.189","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","5021","1","2022-09-29T16:44:49.937Z","100","74","74"
"188.124.36.212","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","37","N/A","23525","socks4","4479","1","2022-09-29T16:44:46.635Z","100","93","93"
"104.129.206.65","elite","AS22616","US","ZSCALER, INC.","89","Zscaler, Inc.","8800","socks4","4996","1","2022-09-29T16:44:43.905Z","97","104","107"
"200.212.2.72","elite","AS4230","BR","Claro S.A.","214","Claro S.A","61283","socks4","4926","1","2022-09-29T16:44:43.903Z","100","93","93"
